"","CFRAG","SDTO","STPC","CLPC","BULK","TAWC","ORGC","TOTN","CNrt","CECS","ECEC","TEB","BSAT","ALSA","ESP","PHAQ","TCEQ","GYPS","ELCO"
"MVZ59535",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59538",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59539",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59541",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59542",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59543",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59545",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59552",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59558",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59559",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59560",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
"MVZ59563",15.66,54.8,28.34,16.86,1.457800035,14.38,5.6411998556,0.67720000154,8.68,13.68,33.78,33.46,99.94,0,3.08,7.9439999028,98.48,14.1,1.32
"MVZ73374",17.5,38.3,46.7,15,0.729333327333333,27.3,213.42733557,8.51266677433333,19.9666666666667,49.2,22.5,17.3666666666667,43.8666666666667,9.33333333333333,1.46666666666667,5.09999991966667,0,7.13333333333333,0.966666666666667
"MVZ82371",12.4,38.325,43.85,17.825,1.3082499705,17.175,30.1637501175,2.26500002075,12.9,20.275,18.725,16.7,73.7,8.775,1.15,6.1624999615,0,6.825,1
"MVZ120124",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
"MVZ120125",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
"MVZ120127",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
"MVZ120131",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
"MVZ120132",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
"MVZ120133",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
"MVZ174004",12.025,38.025,33.95,28.025,1.43475002575,16.1,16.92525009825,1.4962500103,11.225,18.9,19.95,19.075,82.95,0,1.675,6.700000036,20.05,7.25,0.775
"MVZ174005",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
"MVZ174006",14.5,41.9,32.3,25.8,1.478000022,18.2,11.577999873,1.0699999932,9.9,16.6,25.4,25.1,91.3,0,2.4,7.48000007,70.7,20.6,1
"MVZ176999",10.7,46.1666666666667,29.9666666666667,23.8666666666667,1.45166668633333,16.1666666666667,11.922000024,1.1753333312,10.2333333333333,15.8333333333333,22.4333333333333,22.1,88.2666666666667,0,3.93333333333333,7.08000003566667,32.6666666666667,12.7666666666667,1.63333333333333
"MVZ177000",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
"MVZ177001",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
"MVZ177002",10.7,46.1666666666667,29.9666666666667,23.8666666666667,1.45166668633333,16.1666666666667,11.922000024,1.1753333312,10.2333333333333,15.8333333333333,22.4333333333333,22.1,88.2666666666667,0,3.93333333333333,7.08000003566667,32.6666666666667,12.7666666666667,1.63333333333333
"MVZ177003",9.16666666666667,51.7333333333333,27.6,20.6666666666667,1.43733333933333,16.1666666666667,10.004000044,1.09666665793333,9.93333333333333,14.5666666666667,23.8,23.5666666666667,89.2333333333333,0,4.26666666666667,7.149999968,30.8,13.7,1.63333333333333
"MVZ177004",10.7,46.1666666666667,29.9666666666667,23.8666666666667,1.45166668633333,16.1666666666667,11.922000024,1.1753333312,10.2333333333333,15.8333333333333,22.4333333333333,22.1,88.2666666666667,0,3.93333333333333,7.08000003566667,32.6666666666667,12.7666666666667,1.63333333333333
"MVZ177005",11.6666666666667,46.4333333333333,30.5666666666667,23,1.43566667833333,17.1333333333333,11.5546666286667,1.1506666562,10.1666666666667,15.8666666666667,24.5,24.2,89.2333333333333,0,2.46666666666667,7.21666665166667,45.2666666666667,16.8,1
"MVZ177006",10.4666666666667,52.7666666666667,26.9666666666667,20.2666666666667,1.465333336,17.2333333333333,8.10933330833333,0.937333321666667,9.36666666666667,14.0333333333333,26.0666666666667,25.9333333333333,92.2666666666667,0,4.53333333333333,7.48333331866667,54.3666666666667,18.4333333333333,1.63333333333333
"MVZ177009",10.5,49.275,28.775,21.95,1.44750001,16.675,10.39750000125,1.08999999175,9.925,15.075,24.2,23.95,89.75,0,3.8,7.2324999935,40.775,15.425,1.475
"MVZ177010",10.7,46.1666666666667,29.9666666666667,23.8666666666667,1.45166668633333,16.1666666666667,11.922000024,1.1753333312,10.2333333333333,15.8333333333333,22.4333333333333,22.1,88.2666666666667,0,3.93333333333333,7.08000003566667,32.6666666666667,12.7666666666667,1.63333333333333
"MVZ58402",12.55,40.35,33.25,26.4,1.436000027,16.6,14.4199999765,1.3089999976,10.75,17.4,22,21.55,86.75,0,2,6.980000044,35.35,13.5,1
